title,gross_revenue,n_theaters,opening_revenue,release_date,wiki_page,page_created_date
My Hero Academia: World Heroes' Mission,"$12,271,658","1,585","$6,255,779",2021-10-29,My_Hero_Academia:_World_Heroes%27_Mission,2021-07-28
Nightmare Alley,"$11,338,107","2,145","$2,811,703",2021-12-17,Nightmare_Alley_(2021_film),2019-04-23
The Last Duel,"$10,853,945","3,065","$4,759,151",2021-10-15,The_Last_Duel_(2021_film),2019-07-22
Antlers,"$10,619,670","2,800","$4,271,346",2021-10-29,Antlers_(2021_film),2018-07-12
Cry Macho,"$10,310,734","3,967","$4,426,161",2021-09-17,Cry_Macho_(film),2020-10-03
Last Night in Soho,"$10,127,625","3,016","$4,178,460",2021-10-29,Last_Night_in_Soho,2019-02-04
Belfast,"$9,250,870",580,"$1,779,410",2021-11-12,Belfast_(film),2020-10-22
The Many Saints of Newark,"$8,237,403","3,181","$4,651,571",2021-10-01,The_Many_Saints_of_Newark,2018-11-21
The Protégé,"$7,446,823","2,577","$2,908,221",2021-08-20,The_Prot%C3%A9g%C3%A9,2020-05-04
Those Who Wish Me Dead,"$7,407,200","3,188","$2,831,382",2021-05-14,Those_Who_Wish_Me_Dead,2019-04-29
The Night House,"$7,100,581","2,240","$2,859,409",2021-08-20,The_Night_House,2019-12-05
Spencer,"$7,086,632",996,"$2,104,767",2021-11-05,Spencer_(film),2021-01-24
The Courier,"$6,613,432","1,433","$1,885,829",2021-03-19,The_Courier_(2020_film),2018-05-03
A Journal for Jordan,"$6,545,174","2,500","$2,201,886",2021-12-25,A_Journal_for_Jordan,2021-02-02
Judas and the Black Messiah,"$5,478,009","1,888","$2,027,076",2021-02-12,Judas_and_the_Black_Messiah,2019-10-20
Roadrunner: A Film About Anthony Bourdain,"$5,354,970",927,"$1,988,795",2021-07-16,Roadrunner:_A_Film_About_Anthony_Bourdain,2021-04-23
Copshop,"$5,213,243","3,005","$2,315,638",2021-09-17,Copshop,2020-12-01
Zola,"$4,844,399","1,468","$1,200,013",2021-06-30,Zola_(film),2018-10-10
Separation,"$4,509,143","1,751","$1,800,162",2021-04-30,Separation_(2021_film),2019-02-05
Boogie,"$4,178,620","1,252","$1,200,165",2021-03-05,Boogie_(2021_film),2019-09-14
Reminiscence,"$3,900,193","3,265","$1,950,793",2021-08-20,Reminiscence_(2021_film),2019-01-30
Nomadland,"$3,700,000","1,175","$503,000",2021-02-19,Nomadland,2019-02-12
12 Mighty Orphans,"$3,689,637",132,"$251,569",2021-06-11,12_Mighty_Orphans,2020-02-21
Pig,"$3,186,668",552,"$970,935",2021-07-16,Pig_(2021_film),2020-02-29
The Girl Who Believes in Miracles,"$3,163,362",640,"$546,000",2021-04-02,The_Girl_Who_Believes_in_Miracles,2021-03-26
Voyagers,"$3,149,935","1,972","$1,379,988",2021-04-09,Voyagers_(film),2019-04-26
Minari,"$3,110,580",786,"$193,460",2021-02-12,Minari_(film),2019-07-14
The Most Reluctant Convert,"$3,032,744",-,-,2021-11-03,The_Most_Reluctant_Convert,2021-09-30
Dream Horse,"$2,913,328","1,254","$794,741",2021-05-21,Dream_Horse,2019-03-15
The House Next Door: Meet the Blacks 2,"$2,893,660",420,"$1,011,756",2021-06-11,The_House_Next_Door:_Meet_the_Blacks_2,2021-05-06
Here Today,"$2,807,494","1,200","$1,042,171",2021-05-07,Here_Today_(film),2019-10-04
Finding You,"$2,753,985","1,312","$920,476",2021-05-14,Finding_You_(film),2020-10-07
Lamb,"$2,676,410",583,"$1,000,089",2021-10-08,Lamb_(2021_film),2021-03-22
The Card Counter,"$2,657,850",580,"$1,039,580",2021-09-10,The_Card_Counter,2020-01-31
Land,"$2,577,830","1,231","$899,810",2021-02-12,Land_(2021_film),2019-11-03
The Eyes of Tammy Faye,"$2,404,127",450,"$652,358",2021-09-17,The_Eyes_of_Tammy_Faye_(2021_film),2019-05-09
Drive My Car,"$2,352,240",2,"$13,775",2021-11-24,Drive_My_Car_(film),2021-03-21
Parallel Mothers,"$2,297,501",3,"$38,249",2021-12-24,Parallel_Mothers,2021-02-04
Scoob!,"$2,188,425","2,500","$850,000",2021-05-21,Scoob!,2015-08-18
After We Fell,"$2,170,750",246,"$426,457",2021-09-10,After_We_Fell,2021-04-30
The Father,"$2,122,771",-,-,2021-02-26,The_Father_(2020_film),2019-05-02
Queen Bees,"$1,926,706",500,"$375,232",2021-06-11,Queen_Bees_(film),2018-08-01
C'mon C'mon,"$1,863,674",5,"$134,447",2021-11-19,C%27mon_C%27mon_(film),2019-11-03
Show Me the Father,"$1,803,226","1,073","$700,181",2021-09-10,Show_Me_the_Father,2021-09-12
Honsla Rakh,"$1,800,000",100,"$706,000",2021-10-15,Honsla_Rakh,2021-04-02
Titane,"$1,442,988",562,"$533,397",2021-10-01,Titane,2021-01-24
Together Together,"$1,437,938",665,"$532,773",2021-04-23,Together_Together,2021-01-07
Joe Bell,"$1,405,488","1,094","$749,635",2021-07-23,Joe_Bell_(film),2019-04-14
Wrong Turn,"$1,251,184",259,"$107,897",2021-01-26,Wrong_Turn_(2021_film),2019-09-15
God's Not Dead: We the People,"$1,170,367",-,-,2021-10-04,God%27s_Not_Dead:_We_the_People,2021-05-17
In the Earth,"$1,113,723",547,"$505,723",2021-04-16,In_the_Earth,2020-11-06
The Rescue,"$1,060,556",9,"$65,591",2021-10-08,The_Rescue_(2020_film),2019-12-24
Red Rocket,"$1,023,086",6,"$88,195",2021-12-10,Red_Rocket_(film),2021-02-09
Long Weekend,"$1,018,532",814,"$245,182",2021-03-12,Long_Weekend_(2021_film),2021-02-19
The Jesus Music,"$1,016,725",249,"$548,848",2021-10-01,The_Jesus_Music,2021-10-13
Love Story,"$971,000",300,"$971,000",2021-09-24,Love_Story_(2020_film),2020-10-11
Four Good Days,"$837,849",298,"$298,358",2021-04-30,Four_Good_Days,2019-05-16
The Mauritanian,"$836,536",248,"$163,789",2021-02-12,The_Mauritanian,2019-11-02
Blue Bayou,"$788,675",477,"$329,840",2021-09-17,Blue_Bayou_(film),2020-01-24
French Exit,"$741,895",-,-,2021-02-12,French_Exit_(2020_film),2019-05-03
Nine Days,"$694,849",4,"$15,700",2021-07-30,Nine_Days_(film),2019-06-07
Aline,"$667,815",70,"$164,087",2021-11-26,Aline_(film),2021-11-25
The Sparks Brothers,"$648,665",534,"$273,530",2021-06-18,The_Sparks_Brothers,2019-07-17
Chal Mera Putt 3,"$644,000",90,"$644,000",2021-10-01,Chal_Mera_Putt_3,2021-10-04
"If I Can't Have Love, I Want Power","$626,946",122,"$135,223",2021-08-25,"If_I_Can%27t_Have_Love,_I_Want_Power_(film)",2023-05-18
Werewolves Within,"$575,783",270,"$250,811",2021-06-25,Werewolves_Within_(film),2020-02-12
Anita,"$556,632",13,"$82,421",2021-11-12,Anita_(2021_film),2021-11-14
The Truffle Hunters,"$521,202",-,-,2021-03-05,The_Truffle_Hunters,2020-06-04
National Champions,"$475,488","1,197","$301,028",2021-12-10,National_Champions_(film),2021-04-27
Jathi Ratnalu,"$470,000",130,"$470,000",2021-03-12,Jathi_Ratnalu,2019-10-25
Most Eligible Bachelor,"$470,000",195,"$470,000",2021-10-15,Most_Eligible_Bachelor,2019-09-04
The Lost Leonardo,"$445,740",3,"$12,487",2021-08-13,The_Lost_Leonardo,2021-08-11
Flag Day,"$424,667",24,"$42,953",2021-08-20,Flag_Day_(film),2019-06-19
Willy's Wonderland,"$418,286",123,"$97,164",2021-02-12,Willy%27s_Wonderland,2020-03-16
Crisis,"$404,738",216,"$190,649",2021-02-26,Crisis_(2021_film),2019-02-06
Julia,"$399,811",5,"$18,010",2021-11-12,Julia_(2021_film),2020-06-15
Raging Fire,"$385,305",59,"$101,926",2021-08-13,Raging_Fire_(film),2021-04-10
